@RELATION empleo_recomendacion_simplificado

@ATTRIBUTE tipo_empleo_oferta {Tiempo_Completo, Medio_Tiempo, Por_Horas, Temporal}
@ATTRIBUTE modalidad_oferta {Presencial, Remoto, Hibrido}
@ATTRIBUTE tipo_contrato_oferta {Indefinido, Practicas, Obra_Servicio}
@ATTRIBUTE experiencia_requerida NUMERIC
@ATTRIBUTE nivel_estudio_requerido {Bachillerato, Tecnico, Grado, Master, Doctorado}
@ATTRIBUTE sector_oferta {Tecnologia, Educacion, Salud, Construccion, Otros}

@ATTRIBUTE tipo_empleo_deseado {Tiempo_Completo, Medio_Tiempo, Por_Horas, Temporal}
@ATTRIBUTE preferencia_modalidad {Presencial, Remoto, Hibrido}
@ATTRIBUTE preferencia_contrato {Indefinido, Practicas, Obra_Servicio}
@ATTRIBUTE experiencia_persona NUMERIC
@ATTRIBUTE nivel_estudio_persona {Bachillerato, Tecnico, Grado, Master, Doctorado}
@ATTRIBUTE sector_persona {Tecnologia, Educacion, Salud, Construccion, Otros}
@ATTRIBUTE edad_persona NUMERIC

@ATTRIBUTE coincide_tipo_empleo {Si, No}
@ATTRIBUTE coincide_modalidad {Si, No}
@ATTRIBUTE coincide_contrato {Si, No}
@ATTRIBUTE coincide_estudios {Si, No}
@ATTRIBUTE coincide_sector {Si, No}
@ATTRIBUTE experiencia_suficiente {Si, No}

@ATTRIBUTE compatible {Si, No}

@DATA
Por_Horas,Hibrido,Indefinido,3,Grado,Educacion,Medio_Tiempo,Presencial,Indefinido,3,Bachillerato,Construccion,46,No,No,Si,No,No,Si,No
Medio_Tiempo,Remoto,Practicas,6,Bachillerato,Otros,Temporal,Remoto,Practicas,1,Master,Otros,26,No,Si,Si,Si,Si,No,Si
Temporal,Remoto,Obra_Servicio,6,Grado,Educacion,Temporal,Remoto,Indefinido,2,Doctorado,Tecnologia,28,Si,Si,No,Si,No,No,No
Por_Horas,Presencial,Practicas,4,Doctorado,Tecnologia,Medio_Tiempo,Hibrido,Obra_Servicio,2,Tecnico,Otros,34,No,No,No,No,No,No,No
Temporal,Hibrido,Obra_Servicio,5,Tecnico,Salud,Por_Horas,Presencial,Practicas,5,Master,Salud,21,No,No,No,Si,Si,Si,No
Tiempo_Completo,Hibrido,Obra_Servicio,5,Grado,Otros,Por_Horas,Remoto,Obra_Servicio,4,Tecnico,Otros,38,No,No,Si,No,Si,No,No
Tiempo_Completo,Hibrido,Indefinido,1,Tecnico,Otros,Por_Horas,Hibrido,Indefinido,5,Bachillerato,Otros,24,No,Si,Si,No,Si,Si,Si
Tiempo_Completo,Remoto,Indefinido,1,Grado,Tecnologia,Medio_Tiempo,Remoto,Obra_Servicio,3,Grado,Tecnologia,42,No,Si,No,Si,Si,Si,Si
Por_Horas,Remoto,Practicas,2,Bachillerato,Tecnologia,Temporal,Remoto,Obra_Servicio,3,Grado,Tecnologia,41,No,Si,No,Si,Si,Si,Si
Por_Horas,Hibrido,Obra_Servicio,6,Master,Otros,Medio_Tiempo,Presencial,Obra_Servicio,2,Doctorado,Educacion,29,No,No,Si,Si,No,No,No
